var_feature,feature_order,score_max,question_type,model_input,question,question_option
age_calc,0.0,110.0,value,0.6454545454545455,What is the patient's age?,value
bmi_category_class.1.obesity_1,1.0,,parent,0.0,What is the patient's BMI Category?,Obesity Class 1 (Moderate 30 - 34.9)
bmi_category_class.2.obesity_1,2.0,,parent,0.0,What is the patient's BMI Category?,Obesity Class 2 (Severe 35 - 39.9)
bmi_category_class.3.obesity_1,3.0,,parent,0.0,What is the patient's BMI Category?,Obesity Class 3 (Morbid 40+)
bmi_category_normal_1,4.0,,parent,1.0,What is the patient's BMI Category?,Normal (18.5 - 24.9)
bmi_category_overweight_1,5.0,,parent,0.0,What is the patient's BMI Category?,Overweight (25 - 29.9)
bmi_category_unknown_1,6.0,,parent,0.0,What is the patient's BMI Category?,Unknown
distolic,7.0,180.0,value,0.39444444444444443,What is the patient's diastolic blood pressure,value
high_risk_diag_1,8.0,,child,0.0,"Does patient's medical condition or diagnosis carry a significant risk of complications, severe outcomes, or adverse events?",Yes
hospitalization_risk_score_11,9.0,,child,0.0,What is the patient's hospitalization risk score?,Eleven
m1028_actv_diag_dm_1,10.0,,child,0.0,Does patient have an active diagnosis of comorbidities or co-existing conditions of diabetes mellitus?,Yes
m1028_actv_diag_noa_1,11.0,,child,0.0,"Does patient have an active diagnosis of comorbidities or co-existing conditions that is NOT diabetes mellitus, peripheral vascular disease (PVD) or peripheral arterial disease (PAD)?",Yes
m1028_actv_diag_pvd_pad_1,12.0,,child,0.0,Does patient have an active diagnosis of comorbidities or co-existing conditions of peripheral vascular disease (PVD) or peripheral arterial disease (PAD)?,Yes
m1030_thh_par_nutrition_1,13.0,,child,0.0,Does patient receive parenteral nutrition (TPN or lipids) at home?,Yes
m1033_hosp_risk_compliance_1,14.0,,parent,0.0,What is the patient's risk for hospitalization? (Check off all that apply),"Not complying with any medical instructions (for example medications, diet, exercise) in the past 3 months"
m1033_hosp_risk_hstry_falls_1,15.0,,parent,0.0,What is the patient's risk for hospitalization? (Check off all that apply),History of falls (2 or more falls - or any fall with an injury -in the past 12 months)
m1033_hosp_risk_mntl_bhv_dcln_1,16.0,,parent,0.0,What is the patient's risk for hospitalization? (Check off all that apply),"Recent decline in mental, emotional, orbehavioral status in the past 3 months"
m1033_hosp_risk_none_above_1,17.0,,parent,0.0,What is the patient's risk for hospitalization? (Check off all that apply),None of the Above
m1033_hosp_risk_othr_risk_1,18.0,,parent,0.0,What is the patient's risk for hospitalization? (Check off all that apply),Not Listed Here
m1200_vision_2,19.0,,child,0.0,What is the patient's current vision status?,Severely Impaired. Cannot locate object without hearing or touching them or patient nonresponsive
m1242_pain_freq_actvty_mvmt_0,20.0,,child,1.0,What is the patient's frequency of pain that interferes with activity or movement?,Has no pain
m1242_pain_freq_actvty_mvmt_1,21.0,,child,0.0,What is the patient's frequency of pain that interferes with activity or movement?,Has pain that does not interfere with activity or movement
m1242_pain_freq_actvty_mvmt_2,22.0,,child,0.0,What is the patient's frequency of pain that interferes with activity or movement?,Has pain but is less often than daily
m1242_pain_freq_actvty_mvmt_3,23.0,,child,0.0,What is the patient's frequency of pain that interferes with activity or movement?,Has pain daily but not constantly
m1242_pain_freq_actvty_mvmt_4,24.0,,child,0.0,What is the patient's frequency of pain that interferes with activity or movement?,Has pain all the time
m1330_stas_ulcr_prsnt_2,25.0,,child,0.0,Does patient have a stasis ulcer?,Observable Only
m1340_srgcl_wnd_prsnt_0,26.0,,child,1.0,Does patient have a surgical wound?,No
m1340_srgcl_wnd_prsnt_1,27.0,,child,0.0,Does patient have a surgical wound?,Yes. At Least One Observable
m1340_srgcl_wnd_prsnt_2,28.0,,child,0.0,Does patient have a surgical wound?,Yes. At Least One But Not Observable
m1400_when_dyspneic_0,29.0,,child,1.0,Is patient dyspneic or noticeably short of breath?,No
m1400_when_dyspneic_1,30.0,,child,0.0,Is patient dyspneic or noticeably short of breath?,Yes. When walking more than 20 feet or climbing stairs
m1400_when_dyspneic_2,31.0,,child,0.0,Is patient dyspneic or noticeably short of breath?,"Yes. With moderate exertion (e.g., while dressing, using commode or bedpan, walking distances less than 20 feet)"
m1600_uti_1,32.0,,child,0.0,Has patient been treated for a urinary tract infection in the past 14 days?,Yes
m1610_ur_incont_0,33.0,,child,1.0,Does patient have urinary incontinence or urinary catheter presence?,No
m1610_ur_incont_2,34.0,,child,0.0,Does patient have urinary incontinence or urinary catheter presence?,Yes. Urinary Catheter
